# Platform commits 2026-04-01..2026-09-10 touching services/super_agent_select*.py or ai_agents/ (read-only git log at pinned platform SHA fa70688bc252d14f8d67e371afafc194731c324e)
# Context for PREREG §10.4. Prompt/model changes in ai_agents/ are causes the Q005 decomposition cannot see.
# format: short-sha | date | files touched (scoring / service / agents) | subject
79cd0ce | 2026-07-09 | ai_agents/omega_agent.py | GPT 5.6 reasoning effort none-2
6e1edb0 | 2026-07-09 | ai_agents/omega_agent.py | GPT 5.6 reasoning effort none
83b571d | 2026-07-09 | ai_agents/omega_agent.py ai_agents/principal_agent.py ai_agents/super_agent_select_agent.py | upgrading agents to gpt 5.6
ca7628d | 2026-07-09 | ai_agents/omega_agent.py | E2-2026-07-09: edge citation with mandatory pairing (agent + rubric + policy)
a6ea998 | 2026-07-09 | ai_agents/omega_agent.py | Item 3: guide-as-tool — get_exit_ladder_guide (v1.2 sidecar, policy-rails)
1765a6f | 2026-07-07 | super_agent_select_models.py super_agent_select_scoring.py | SAS conviction card + 80 publication floor
f718b34 | 2026-07-06 | super_agent_select_service.py | X4: unresolvable ladders feed the G3 degraded-batch assertion
5fa3db4 | 2026-07-06 | super_agent_select_service.py | W3: publication-time cross-lane ladder monotonicity (H4 family)
85a435a | 2026-07-05 | ai_agents/omega_agent.py | Phase 1 closeout N1-N5: ladder de-split + CIs + rubric + baseline isolation
b72c177 | 2026-07-05 | ai_agents/omega_agent.py | Phase 1 kickoff: eval harness + grounding tools v1 (P1-A/B/C)
3f36900 | 2026-07-05 | super_agent_select_service.py | Phase 0.5h: ladder invalidation + grader void rule (G1-2026-07-06 executed)
a3e6674 | 2026-07-05 | super_agent_select_service.py | Phase 0.5g: ladder integrity audit + operational guards (pre-merge)
d3d49bc | 2026-07-05 | super_agent_select_service.py | Phase 0.5f: cluster integrity check + F3 guard behavior (push-ready)
f94e347 | 2026-07-05 | super_agent_select_service.py | Phase 0.5e: wrong-side-target exclusion + final reconciliation (HELD, final gate)
9be2a14 | 2026-07-03 | super_agent_select_scoring.py | Bear Phase 1 Step 1 amendment: stamp the gate-in-effect on graded sub-threshold rows
31d6418 | 2026-07-03 | super_agent_select_scoring.py super_agent_select_service.py | Bear Phase 1 Step 1: dark-grade the sub-80 v2 bearish cohort
d2788b8 | 2026-07-02 | super_agent_select_scoring.py | Bear Phase 1 dark-lane: fix cart_tag width overflow + verification checks (HELD)
aa4108f | 2026-07-02 | super_agent_select_scoring.py super_agent_select_service.py | Bear Phase 1: instrument-only dark lane for v1-only bears (Option B, HELD)
49e050a | 2026-07-02 | super_agent_select_service.py | Bear Phase 1: wire V1 into SAS bear candidate universe (dual-source, HELD)
a9234b8 | 2026-06-28 | super_agent_select_models.py super_agent_select_scoring.py super_agent_select_service.py | Bear SAS cart: horizon-aware MTF bear technical + bull/bear/both routing
cd68573 | 2026-06-02 | super_agent_select_models.py super_agent_select_service.py | Step 2: gates ship OFF by default + env-flippable kill-switches
5f94594 | 2026-06-02 | super_agent_select_models.py super_agent_select_scoring.py super_agent_select_service.py | Phase 5 Step 2: LIVE secular gates — catalyst BULL_BULLISH + §D bear-release
56d86a3 | 2026-06-02 | super_agent_select_service.py | Market Regime Stack v1: secular layer + inert consumer wiring (Phase 5 Step 1b)
69ef05f | 2026-06-01 | ai_agents/fmp_client.py ai_agents/projection_expert.py super_agent_select_models.py super_agent_select_scoring.py super_agent_select_service.py | Earnings catalyst: fix resolver + direction-aware windowed scoring
330f0b7 | 2026-05-20 | super_agent_select_scoring.py | Wave 2 finalization: SAS direction-vote prefix match + tech direction fix
9f27157 | 2026-05-19 | ai_agents/bear_distribution_matcher.py | Diagnose bear library blob-sync silent failure
90ca083 | 2026-05-18 | ai_agents/bear_distribution_matcher.py ai_agents/projection_expert.py | Bear engine: blob storage fetch for matcher libraries + ATR log cleanup
916df1c | 2026-05-17 | ai_agents/bear_distribution_matcher.py | Bear distribution engine - phase 1 matcher + scoring extensions
e6cc992 | 2026-05-17 | super_agent_select_models.py super_agent_select_scoring.py super_agent_select_service.py | Disable polarization approach
4bc3f24 | 2026-05-16 | super_agent_select_models.py super_agent_select_scoring.py super_agent_select_service.py | Removing backtest
